@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute box_office numeric

@data
14.6,20,Action,240031094
16,1,Drama,306776732
30.25,20,Horror,102984862
22.2,1,Horror,129394835
13.4,30,Drama,23000000
3.2,30,Adventure,120175290
5.2,10,Drama,2200000
24,1,Comedy,194168700
9.4,1,Comedy,131282949
6.4,5,Fantasy,9644124
13.6,20,Thriller,92913171
25,1,Drama,30000000
14.4,20,Comedy,90449929
18.2,1,Drama,102616183
18.2,1,Adventure,574480841
13.8,1,Comedy,12368234
23.6,1,Comedy,330444045
14.6,30,Thriller,182300000
2,1,Drama,1999955
10.8,40,Drama,17287898
2.8,1,Comedy,4508104
14.4,3,Adventure,19125401
20,1,Drama,99965753
15.6,5,Comedy,90400000
9.4,1,Drama,793604
14.4,1,Drama,37121708
12.6,1,Comedy,181000000
2.4,20,Drama,24517
1.4,20,Drama,30857
16,1,Drama,34604000
6.8,5,Drama,119418501
4.8,1,Adventure,153698625
30,30,Adventure,162949164
18,5,Fantasy,90383208
22,8,Adventure,350448145
16.2,8,Adventure,164508066
18,3,Drama,98410061
21.6,1,Comedy,93888180
9,3,Drama,110627965
5.4,20,Drama,36144000
30,1,Drama,152266007
10.8,3,Drama,41170784
16.2,1,Action,101191884
8.6,1,Adventure,40485039
6.25,1,Drama,16756372
9.8,1,Adventure,45300000
15.25,1,Adventure,142400065
15.25,3,Drama,1928985
11.25,1,Documentary,127392239
22,3,Adventure,199200000
3.2,1,Drama,17808
10.6,3,Drama,124731534
14,3,Horror,62771059
1.75,1,Adventure,18999718
7.25,1,Action,12348905
8.25,20,Action,9700000
2.8,20,Horror,80578934
2.8,3,Horror,2023414
8.6,3,Horror,61276872
20,3,Action,224012234
6.2,1,Horror,1422749
4.8,20,Action,8844595
3.4,1,Drama,35000000
5.2,3,Drama,32482682
28,1,Drama,88545092
22,3,Drama,9450897
24.2,1,Drama,62112895
21,20,Adventure,163712074
5.75,2,Drama,43656822
22,20,Adventure,585174222
22,1,Adventure,127906624
16.4,30,Drama,849055
18,10,Adventure,433013274
17.5,30,Adventure,401128639
22.4,5,Action,18211013
22,1,Drama,16900000
30,20,Adventure,370569774
5.75,30,Documentary,720074
9.6,30,Action,178104
13,30,Documentary,119114517
7.3333,30,History,6706368
5.6,3,Documentary,46243000
12.4,1,Drama,80035402
5.25,1,Drama,9801375
12.4,2,Comedy,33828318
1,3,Drama,10012022
24,1,Drama,1053788
3,8,Drama,27354
1.25,1,Comedy,2049595
22.8,3,Drama,152944660
6.6,20,Drama,14202899
26,1,Drama,97837138
22,25,Comedy,130431368
14.2,20,Comedy,196482882
10.8,1,Drama,16057580
15.25,1,Drama,23727301
20,1,Drama,24127895
11.8,1,Drama,24362772
30,20,Adventure,30652890
12.6,8,Drama,31670620
8.2,1,Thriller,2000000
1,3,Drama,22000000
4.6,1,Documentary,127067
13.2,10,Drama,212404396
6.6,20,Comedy,19776159
15.5,20,Drama,47434430
20,10,Drama,162945894
14.4,1,Animation,5849647
26,30,Adventure,709709780
1.2,20,Comedy,2279000
28,1,Adventure,1045713802
24,20,Adventure,10680275
6.8,1,Drama,56666667
12.8,3,Drama,48169908
4.2,5,Drama,90815558
23.6,10,Drama,60474340
3.4,1,Drama,31853080
20,1,Adventure,538400000
20,1,Adventure,572700000
23.6,30,Adventure,924317558
26,30,Adventure,649398328
26,30,Adventure,850000000
9.6,20,Drama,207515725
8.8,8,Drama,368234
30,1,Drama,203388341
10.4,1,Drama,162242962
14.6,20,Adventure,144056873
20.25,1,Drama,22200000
8.6,3,Adventure,61698899
8.6,8,Drama,38535221
23.6,1,Drama,65754228
17.5,30,Drama,4160851
16,8,Adventure,300218018
14,1,Action,245360480
20,3,Adventure,752215857
1.2,1,Drama,75511123
11.6,8,Drama,209947037
21,1,History,289317794
9,1,Drama,2000000
8.6,1,Drama,21750000
14.8,20,Drama,106683817
16.4,5,Horror,2856712
18.2,1,Drama,18618284
16.8,3,Action,42931041
30,30,Drama,84785914
20,5,Drama,5761917
16.4,20,Drama,674918
14.4,1,Thriller,96060858
18.6,30,Drama,26010864
12.4,20,Drama,51801187
8.6,30,Horror,173066
14.2,1,Drama,128038368
22,10,Adventure,167298192
8.6,1,Drama,29481428
14.4,10.5,Action,10496317
5.6,1,Horror,183474602
14.2,1,Horror,39143839
3.25,1,Horror,38610009
19.6,20,Adventure,289047763
24.2,1,Drama,82466670
10.8,3,Drama,18928871
32.5,20,Drama,21786738
1,3,Drama,486021
16.2,30,Action,25037897
27,3,Adventure,274703340
17,8,Adventure,156505388
4.8,3,Adventure,62172050
18.2,1,Drama,54926886
6.6,3,Comedy,231605150
8.4,20,Drama,7286388
1.2,1,Drama,1185783
2.6,1,Drama,19777647
2.4,1,Drama,17804565
3.5,1,Drama,22963701
16.4,1,Comedy,94728529
12.2,3,Adventure,74189677
14.2,1,Comedy,36911617
11,1,Drama,218626
14.8,1,Comedy,171269535
7,20,Adventure,108103450
22,20,Drama,215294342
17.8,1,Drama,77944725
5.6,1,Drama,20036737
20,20,Drama,104876233
8.8,1,Drama,80640528
18.4,5,Action,105178561
20.2,1,Drama,114830111
26,8,Drama,12008642
18.2,1,Action,347234916
9.4,1,Drama,106269971
14.2,30,Western,68296293
16.2,1,Drama,8679814
13,8,Drama,35402320
16.2,1,Comedy,34673095
22,8,Adventure,347451894
9.2,10.5,Fantasy,623722818
16.2,8,Drama,182057016
